Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
X2_lib_raw_1										0.8080439062752732	0.8765080232694336	2.1207143693771577	0.9756485266968224	3.6050331583849715	2.3389350274135343	87.76542046170749																																																																																																			
X2_lib_raw_2										0.4788305045986692	0.47966713331957544	2.5710994974650148	1.256476900681016	0.842903436313033	0.0	91.69325286824214																																																																																																			
X2_neg_raw_1										1.3836010408310997	0.8377516483086495	1.8601921233345724	1.5667247079999218	3.0184101891886606	2.277698432884002	87.32925087551112																																																																																																			
X2_neg_raw_2										1.137088411949993	1.0600043041887581	2.6975524817561087	0.502416215052922	0.0	0.0	91.81617201103437																																																																																																			
X2rL41_post_raw_1										0.5632294242503294	0.2855386430901392	1.489386130066685	0.8986165236732935	1.8326937568078385	1.0998269837105998	92.79133915770642																																																																																																			
X2rL41_post_raw_2										0.5804874539573934	0.36045665836585716	1.7190450896000569	0.8886976981784968	2.507537217395222	0.4707627177145864	90.98778422158293																																																																																																			
X2rL41_pre_raw_1										0.648880530999839	0.3203651319647511	1.4836666660040434	0.9094902902489013	2.0332332109468028	2.3924413230467687	91.00134976374164																																																																																																			
X2rL41_pre_raw_2										0.7096298387241056	0.4305726457158419	1.813931390654228	1.026377047257634	2.875851553818599	0.2946023365424182	90.18497130509631																																																																																																			
X2rL42_post_raw_1										0.5895372584771168	0.3209185425721932	1.6285933182493706	0.9236650894627043	2.0328423209480957	1.46658923187764	91.84557043304525																																																																																																			
X2rL42_post_raw_2										0.5244311386361835	0.39932350532423877	1.9944234414271047	0.8137817207628073	2.175323526817318	0.2634245550372838	91.2391521517483																																																																																																			
X2rL42_pre_raw_1										0.6295403926307077	0.2966873705218442	1.612084868223067	0.7880924307530235	2.4043896676289336	1.6073032605630835	91.47477303492053																																																																																																			
X2rL42_pre_raw_2										0.6811134466776745	0.37611518665157295	1.660052741891475	0.8521887429570904	2.9425861742470962	0.6901074229905009	90.01976018340122																																																																																																			
