	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	276
X2_lib_merged	0.00015252435432627705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.066568454700957e-05	0.0	0.0	0.0	0.0	0.0	3.1266757027594476e-05	0.00018840286183947135	0.0	0.0	0.0024897991944189185	0.014461187285724137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	275
X2_neg_merged	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.478995408623987e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016958422188399593	0.0	8.479592165535206e-05	0.0019580433868361595	0.016384465801739342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277
X2rL41_post_merged	3.950556416118428e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.904785280341234e-06	7.905600801944144e-06	0.0	0.0	0.0	0.0	0.0	2.3757318045868728e-05	1.58460260662375e-05	7.927563002919644e-06	1.5858462587071878e-05	7.932933079839101e-06	3.175600716479034e-05	7.953015493189952e-06	7.96760308843418e-06	0.0	2.398738071875148e-05	6.414765764427189e-05	1.6109058324859297e-05	1.619968509432145e-05	0.00018674644258176145	3.272643255049525e-05	4.132191449057889e-05	0.001711934178480551	0.01090357107333865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277
X2rL41_pre_merged	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7710931213311253e-05	1.772991645929313e-05	8.878732408234527e-06	8.884898187507424e-06	3.559321159149885e-05	3.564925447159739e-05	8.94212913346566e-06	4.487877927566189e-05	6.312399762473415e-05	0.0	2.7407544986515945e-05	7.416640438026785e-05	2.828860715950701e-05	0.00022774797864179454	0.00016433464527158476	5.9258796894325465e-05	0.00207841210126551	0.010569416576797983	0.0	0.0	0.004644466118619664	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277
X2rL42_post_merged	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9472294964766343e-05	0.0	0.0	9.741557454877835e-06	9.744992072936198e-06	2.9248107208741984e-05	9.759311945085524e-06	0.0	0.0	9.793115537708147e-06	9.809089612507609e-06	3.9348371297133816e-05	0.0	0.00011857811793008851	3.976065279834978e-05	6.006993943047891e-05	0.0019788942304374635	0.012241538439236064	0.0	0.0	0.0	0.006023370678231539	0.0	0.0	0.0	0.0
